Date,Effective Spread (in percent)

2015-01-02,0.12775264

2015-01-05,0.02597348

2015-01-06,0.02625445

2015-01-07,0.02693763

2015-01-08,0.02352977

2015-01-09,0.02571032

2015-01-12,0.02713703

2015-01-13,0.02539337

2015-01-14,0.02653174

2015-01-15,0.02645526

2015-01-16,0.04091859

2015-01-20,0.02606595

2015-01-21,0.03010652

2015-01-22,0.02382698

2015-01-23,0.04472689

2015-01-26,0.02758393

2015-01-27,0.02588893

2015-01-28,0.02945973

2015-01-29,0.04762998

2015-01-30,0.02793505

2015-02-02,0.02890297

2015-02-03,0.03139552

2015-02-04,0.03046739

2015-02-05,0.02844332

2015-02-06,0.02706397

2015-02-09,0.02684199

2015-02-10,0.04856692

2015-02-11,0.02476464

2015-02-12,0.02444483

2015-02-13,0.02256584

2015-02-17,0.02373785

2015-02-18,0.03081805

2015-02-19,0.02743962

2015-02-20,0.02289123

2015-02-23,0.02739733

2015-02-24,0.02081562

2015-02-25,0.02541606

2015-02-26,0.02255363

2015-02-27,0.02364173

2015-03-02,0.03206602

2015-03-03,0.02314720

2015-03-04,0.02340052

2015-03-05,0.02393148

2015-03-06,0.02806963

2015-03-09,0.03317180

2015-03-10,0.02572763

2015-03-11,0.02447404

2015-03-12,0.04026166

2015-03-13,0.02845496

2015-03-16,0.02657866

2015-03-17,0.02239986

2015-03-18,0.02595766

2015-03-19,0.04133710

2015-03-20,0.01774698

2015-03-23,0.02355234

2015-03-24,0.04869889

2015-03-25,0.02314186

2015-03-26,0.02928774

2015-03-27,0.02517439

2015-03-30,0.03303893

2015-03-31,0.02908611

2015-04-01,0.02453306

2015-04-02,0.04897460

2015-04-06,0.02460231

2015-04-07,0.02593581

2015-04-08,0.02574230

2015-04-09,0.02449474

2015-04-10,0.03259906

2015-04-13,0.02345609

2015-04-14,0.02207036

2015-04-15,0.02446811

2015-04-16,0.02441967

2015-04-17,0.02868051

2015-04-20,0.02672621

2015-04-21,0.03826628

2015-04-22,0.02539352

2015-04-23,0.02133062

2015-04-24,0.02268475

2015-04-27,0.02152648

2015-04-28,0.02304539

2015-04-29,0.02404012

2015-04-30,0.02901785

2015-05-01,0.03636234

2015-05-04,0.05517428

2015-05-05,0.02344541

2015-05-06,0.02280651

2015-05-07,0.02118506

2015-05-08,0.01975608

2015-05-11,0.02253201

2015-05-12,0.02151620

2015-05-13,0.04488693

2015-05-14,0.02045761

2015-05-15,0.02339141

2015-05-18,0.01828637

2015-05-19,0.02432484

2015-05-20,0.02268539

2015-05-21,0.02296961

2015-05-22,0.02155441

2015-05-26,0.01971713

2015-05-27,0.01821887

2015-05-28,0.02220183

2015-05-29,0.02819245

2015-06-01,0.04118590

2015-06-02,0.02592282

2015-06-03,0.02558902

2015-06-04,0.11130903

2015-06-05,0.02894814

2015-06-08,0.02276046

2015-06-09,0.02225950

2015-06-10,0.02342673

2015-06-12,0.02230657

2015-06-15,0.02109945

2015-06-16,0.02529509

2015-06-17,0.02608138

2015-06-18,0.02354514

2015-06-19,0.04212769

2015-06-22,0.02385325

2015-06-23,0.02763044

2015-06-24,0.02230810

2015-06-25,0.02740010

2015-06-26,0.02704618

2015-06-29,0.02427739

2015-06-30,0.02442535

2015-07-01,0.02253142

2015-07-02,0.03730719

2015-07-06,0.03388235

2015-07-07,0.02566913

2015-07-08,0.02701916

2015-07-09,0.04526536

2015-07-10,0.04086869

2015-07-13,0.02615508

